[2026-04-01T04:21:55.921Z] GET http://localhost:8899/index.html → 200 (19ms, 24039B)
[2026-04-01T04:21:55.954Z] GET http://localhost:8899/css/styles.css → 200 (8ms, 9409B)
[2026-04-01T04:21:55.954Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (144ms, 208522B)
[2026-04-01T04:22:56.456Z] GET http://localhost:8899/target/ENST00000353383-262.html → 200 (2ms, 13276B)
[2026-04-01T04:22:56.461Z] GET http://localhost:8899/css/styles.css → 200 (1ms, 9409B)
[2026-04-01T04:22:56.462Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:23:28.754Z] GET http://localhost:8899/methodology.html → 200 (5ms, 10191B)
[2026-04-01T04:23:28.762Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:23:28.763Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:23:46.304Z] GET http://localhost:8899/compare.html → 200 (2ms, 11410B)
[2026-04-01T04:23:46.308Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:23:46.309Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:00.048Z] GET http://localhost:8899/about.html → 200 (4ms, 7277B)
[2026-04-01T04:24:00.059Z] GET http://localhost:8899/css/styles.css → 200 (1ms, 9409B)
[2026-04-01T04:24:00.063Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:14.109Z] GET http://localhost:8899/target/ENST00000353383-262.html → 200 (1ms, 13276B)
[2026-04-01T04:24:14.112Z] GET http://localhost:8899/css/styles.css → 200 (1ms, 9409B)
[2026-04-01T04:24:14.113Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:22.671Z] GET http://localhost:8899/index.html → 200 (1ms, 24039B)
[2026-04-01T04:24:22.674Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:24:22.675Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:22.747Z] GET http://localhost:8899/compare.html → 200 (?ms, 11410B)
[2026-04-01T04:24:22.749Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:24:22.749Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:22.820Z] GET http://localhost:8899/about.html → 200 (?ms, 7277B)
[2026-04-01T04:24:22.822Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:24:22.822Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:24:33.647Z] GET http://localhost:8899/index.html → 200 (?ms, 24039B)
[2026-04-01T04:24:33.649Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:24:33.649Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:25:02.456Z] GET http://localhost:8899/target/ENST00000353383-262.html → 200 (1ms, 13276B)
[2026-04-01T04:25:02.459Z] GET http://localhost:8899/css/styles.css → 200 (1ms, 9409B)
[2026-04-01T04:25:02.460Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:25:20.237Z] GET http://localhost:8899/target/ENST00000353383-262.html → 200 (?ms, 13276B)
[2026-04-01T04:25:20.239Z] GET http://localhost:8899/css/styles.css → 200 (?ms, 9409B)
[2026-04-01T04:25:20.240Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (?ms, 208522B)
[2026-04-01T04:26:45.381Z] GET http://localhost:8899/target/ENST00000353383-262.html → 200 (?ms, 13276B)
[2026-04-01T04:26:45.384Z] GET http://localhost:8899/css/styles.css → 304 (6ms, ?B)
[2026-04-01T04:26:45.384Z] GET https://cdn.jsdelivr.net/npm/chart.js@4/dist/chart.umd.min.js → 200 (1ms, 208522B)
